name,count,state
Liam,31,CA
Noah,23,CA
Mateo,23,CA
Santiago,20,CA
Olivia,19,CA
Camila,19,CA
Emma,19,CA
Sebastian,19,CA
Oliver,18,CA
Julian,18,CA
Mia,17,CA
Sophia,17,CA
Sofia,16,CA
Elijah,15,CA
Daniel,14,CA
Elias,14,CA
Ezekiel,13,CA
Anthony,13,CA
Isabella,13,CA
Aiden,12,CA
Theodore,12,CA
Roman,11,CA
Genesis,11,CA
Ezra,11,CA
Benjamin,11,CA
Leonardo,10,CA
Catalina,10,CA
Logan,10,CA
Victoria,10,CA
Damian,10,CA
Micah,10,CA
Joseph,10,CA
Levi,9,CA
Michael,9,CA
Aaron,9,CA
Maya,9,CA
Jack,9,CA
Lorenzo,8,CA
Natalia,8,CA
Maverick,8,CA
Andres,8,CA
Elena,8,CA
Ethan,8,CA
Mason,8,CA
Luca,8,CA
Dylan,8,CA
Thiago,8,CA
Ian,8,CA
Jacob,8,CA
Layla,8,CA
Lily,7,CA
Charlotte,7,CA
Jonathan,7,CA
Giovanni,7,CA
Aria,7,CA
Luke,7,CA
Luna,7,CA
Jackson,7,CA
Emily,7,CA
Eliana,7,CA
Leon,7,CA
Jose,7,CA
Asher,7,CA
Natalie,7,CA
Valentina,7,CA
Mila,7,CA
Thomas,7,CA
Alexander,7,CA
Adrian,7,CA
Kai,6,CA
Victor,6,CA
Leo,6,CA
Leilani,6,CA
Adeline,6,CA
Angel,6,CA
Nathan,6,CA
Ava,6,CA
Josiah,6,CA
Joshua,6,CA
Hannah,6,CA
Caleb,6,CA
Andrew,6,CA
Gael,6,CA
Evelyn,6,CA
Scarlett,6,CA
Cooper,6,CA
Violet,6,CA
Dahlia,6,CA
Ariana,6,CA
Emilia,6,CA
Dean,6,CA
Emiliano,6,CA
Lucas,6,CA
Amelia,6,CA
Wyatt,5,CA
Isla,5,CA
Isaiah,5,CA
Iris,5,CA
Ivan,5,CA
David,5,CA
Ailany,5,CA
Zoe,5,CA
Colton,5,CA
Cataleya,5,CA
Waylon,5,CA
Christopher,5,CA
Gabriel,5,CA
Celine,5,CA
Emery,5,CA
Felix,5,CA
Alejandro,5,CA
Vincent,5,CA
Ismael,5,CA
Jeremiah,5,CA
Amir,5,CA
Diego,5,CA
Amari,5,CA
Aurora,5,CA
Kayla,5,CA
Arianna,5,CA
Owen,5,CA
Matthew,5,CA
James,5,CA
Valeria,4,CA
Nicole,4,CA
Emmanuel,4,CA
Enzo,4,CA
Lucia,4,CA
Lucy,4,CA
Samantha,4,CA
Luis,4,CA
Ellie,4,CA
Ella,4,CA
Elizabeth,4,CA
Luka,4,CA
Naomi,4,CA
Milo,4,CA
Mariana,4,CA
Xavier,4,CA
Eliam,4,CA
Miles,4,CA
Eleanor,4,CA
Miguel,4,CA
Esmeralda,4,CA
Omar,4,CA
Nova,4,CA
Harper,4,CA
Ryder,4,CA
Jayden,4,CA
Jaziel,4,CA
Silas,4,CA
Isaac,4,CA
Jesse,4,CA
Sloane,4,CA
Henry,4,CA
Ryan,4,CA
Hazel,4,CA
Jordan,4,CA
Eva,4,CA
Grace,4,CA
Summer,4,CA
Tadeo,4,CA
Rafael,4,CA
Tatum,4,CA
Julia,4,CA
Penelope,4,CA
Koa,4,CA
Parker,4,CA
Sage,4,CA
Aaliyah,4,CA
Jade,4,CA
Caroline,4,CA
Bennett,4,CA
Ace,4,CA
Chloe,4,CA
Axel,4,CA
Arya,4,CA
Cristian,4,CA
Charlie,4,CA
Alan,4,CA
Beau,4,CA
Bella,4,CA
Adam,4,CA
Camille,4,CA
Ana,4,CA
Alina,4,CA
Adriel,4,CA
Skylar,3,CA
Josephine,3,CA
Julius,3,CA
Samuel,3,CA
Cameron,3,CA
Alani,3,CA
Jude,3,CA
Sarah,3,CA
Avery,3,CA
Hunter,3,CA
