word,count,category
subject,205,sci.space
new,67,sci.space
good,62,sci.space
high,59,sci.space
solar,56,sci.space
first,53,sci.space
apr,48,sci.space
shuttle,48,sci.space
nasa,46,sci.space
xref,46,sci.space
large,44,sci.space
many,43,sci.space
much,42,sci.space
available,41,sci.space
small,39,sci.space
usenet,39,sci.space
launch,35,sci.space
commercial,33,sci.space
uunet,33,sci.space
utzoo,31,sci.space
international,31,sci.space
general,30,sci.space
national,30,sci.space
real,29,sci.space
big,28,sci.space
planetary,28,sci.space
right,28,sci.space
public,27,sci.space
current,27,sci.space
usc,27,sci.space
lunar,26,sci.space
next,26,sci.space
earth,26,sci.space
last,26,sci.space
orbital,25,sci.space
military,25,sci.space
different,25,sci.space
usa,24,sci.space
little,24,sci.space
sure,23,sci.space
second,23,sci.space
great,23,sci.space
long,22,sci.space
low,22,sci.space
possible,22,sci.space
old,22,sci.space
satellite,21,sci.space
several,20,sci.space
important,20,sci.space
anonymous,19,sci.space
soviet,19,sci.space
light,19,sci.space
nsmca,19,sci.space
technical,19,sci.space
gary,18,sci.space
udel,18,sci.space
russian,18,sci.space
enough,18,sci.space
various,17,sci.space
true,17,sci.space
give,17,sci.space
able,17,sci.space
human,16,sci.space
single,16,sci.space
astronomical,16,sci.space
dark,16,sci.space
expensive,15,sci.space
gamma,15,sci.space
physical,14,sci.space
specific,14,sci.space
japanese,14,sci.space
short,14,sci.space
scientific,14,sci.space
net,14,sci.space
private,14,sci.space
main,14,sci.space
future,14,sci.space
major,13,sci.space
magnetic,13,sci.space
significant,13,sci.space
red,13,sci.space
full,13,sci.space
black,13,sci.space
sky,13,sci.space
local,12,sci.space
special,12,sci.space
astronomy,12,sci.space
hst,12,sci.space
utnut,12,sci.space
free,12,sci.space
similar,12,sci.space
whole,12,sci.space
gatech,11,sci.space
visible,11,sci.space
close,11,sci.space
certain,11,sci.space
key,11,sci.space
pat,11,sci.space
heavy,11,sci.space
inflatable,11,sci.space
hard,11,sci.space
north,11,sci.space
american,10,sci.space
solid,10,sci.space
know,10,sci.space
wrong,10,sci.space
perfect,10,sci.space
total,10,sci.space
united,10,sci.space
cosmic,10,sci.space
universe,10,sci.space
complex,10,sci.space
green,9,sci.space
likely,9,sci.space
build,9,sci.space
early,9,sci.space
orbit,9,sci.space
open,9,sci.space
celestial,9,sci.space
titan,9,sci.space
san,9,sci.space
final,9,sci.space
complete,8,sci.space
galactic,8,sci.space
venus,8,sci.space
present,8,sci.space
due,8,sci.space
allen,8,sci.space
western,8,sci.space
substantial,8,sci.space
strong,8,sci.space
european,8,sci.space
user,8,sci.space
interstellar,8,sci.space
drag,8,sci.space
useful,8,sci.space
positional,8,sci.space
beam,8,sci.space
effective,8,sci.space
actual,8,sci.space
material,7,sci.space
martian,7,sci.space
alive,7,sci.space
live,7,sci.space
standard,7,sci.space
huge,7,sci.space
nick,7,sci.space
destructive,7,sci.space
update,7,sci.space
sorry,7,sci.space
