word,count,category
space,47,sci.space
organization,38,sci.space
date,32,sci.space
article,22,sci.space
gmt,21,sci.space
news,18,sci.space
henry,18,sci.space
system,17,sci.space
time,16,sci.space
technology,16,sci.space
path,14,sci.space
mission,14,sci.space
apr,13,sci.space
spacecraft,13,sci.space
rochester,13,sci.space
flight,12,sci.space
university,11,sci.space
earth,11,sci.space
information,11,sci.space
work,10,sci.space
science,10,sci.space
something,9,sci.space
xref,9,sci.space
moon,9,sci.space
sender,8,sci.space
research,8,sci.space
spencer,8,sci.space
program,8,sci.space
station,8,sci.space
orbit,8,sci.space
sky,8,sci.space
world,8,sci.space
baalke,8,sci.space
center,8,sci.space
life,7,sci.space
support,7,sci.space
air,7,sci.space
tue,7,sci.space
power,7,sci.space
payload,6,sci.space
way,6,sci.space
idea,6,sci.space
pat,6,sci.space
use,6,sci.space
part,6,sci.space
distribution,6,sci.space
option,6,sci.space
design,6,sci.space
number,6,sci.space
propulsion,6,sci.space
look,5,sci.space
launch,5,sci.space
government,5,sci.space
pgf,5,sci.space
mass,5,sci.space
someone,5,sci.space
project,5,sci.space
city,5,sci.space
command,5,sci.space
computer,5,sci.space
exploration,5,sci.space
model,5,sci.space
cost,5,sci.space
mon,5,sci.space
money,5,sci.space
year,5,sci.space
anyone,5,sci.space
place,4,sci.space
temperature,4,sci.space
person,4,sci.space
lot,4,sci.space
market,4,sci.space
order,4,sci.space
orbiter,4,sci.space
online,4,sci.space
post,4,sci.space
industry,4,sci.space
prb,4,sci.space
fuel,4,sci.space
institute,4,sci.space
source,4,sci.space
bill,4,sci.space
body,4,sci.space
history,4,sci.space
telescope,4,sci.space
safety,4,sci.space
satellite,4,sci.space
case,4,sci.space
gravity,4,sci.space
udel,4,sci.space
day,4,sci.space
think,4,sci.space
office,3,sci.space
thu,3,sci.space
state,3,sci.space
nothing,3,sci.space
sun,3,sci.space
note,3,sci.space
star,3,sci.space
society,3,sci.space
radio,3,sci.space
shuttle,3,sci.space
sci,3,sci.space
venus,3,sci.space
version,3,sci.space
access,3,sci.space
motion,3,sci.space
night,3,sci.space
facility,3,sci.space
internet,3,sci.space
hst,3,sci.space
help,3,sci.space
hardware,3,sci.space
network,3,sci.space
get,3,sci.space
field,3,sci.space
express,3,sci.space
jupiter,3,sci.space
example,3,sci.space
environment,3,sci.space
energy,3,sci.space
end,3,sci.space
california,3,sci.space
area,3,sci.space
april,3,sci.space
john,3,sci.space
ground,3,sci.space
list,3,sci.space
mail,3,sci.space
lab,3,sci.space
name,3,sci.space
mercury,3,sci.space
laboratory,3,sci.space
sort,2,sci.space
budget,2,sci.space
gatech,2,sci.space
today,2,sci.space
software,2,sci.space
funding,2,sci.space
fri,2,sci.space
zoology,2,sci.space
control,2,sci.space
loss,2,sci.space
course,2,sci.space
mark,2,sci.space
david,2,sci.space
mccall,2,sci.space
stuff,2,sci.space
engineering,2,sci.space
surface,2,sci.space
activity,2,sci.space
palmer,2,sci.space
box,2,sci.space
base,2,sci.space
vehicle,2,sci.space
jpl,2,sci.space
nasa,2,sci.space
probe,2,sci.space
week,2,sci.space
astronomy,2,sci.space
phone,2,sci.space
ron,2,sci.space
question,2,sci.space
development,2,sci.space
reason,2,sci.space
uunet,2,sci.space
report,2,sci.space
image,2,sci.space
line,2,sci.space
rocket,2,sci.space
book,1,sci.space
tom,1,sci.space
observatory,1,sci.space
business,1,sci.space
thing,1,sci.space
anything,1,sci.space
agency,1,sci.space
test,1,sci.space
term,1,sci.space
planet,1,sci.space
department,1,sci.space
redesign,1,sci.space
point,1,sci.space
kind,1,sci.space
pressure,1,sci.space
problem,1,sci.space
process,1,sci.space
josh,1,sci.space
jet,1,sci.space
radar,1,sci.space
radiation,1,sci.space
saturn,1,sci.space
dietz,1,sci.space
group,1,sci.space
man,1,sci.space
george,1,sci.space
site,1,sci.space
gamma,1,sci.space
pluto,1,sci.space
fact,1,sci.space
matter,1,sci.space
message,1,sci.space
force,1,sci.space
god,41,soc.religion.christian
date,36,soc.religion.christian
hedrick,29,soc.religion.christian
organization,26,soc.religion.christian
path,24,soc.religion.christian
church,20,soc.religion.christian
time,19,soc.religion.christian
jesus,17,soc.religion.christian
sender,17,soc.religion.christian
gmt,16,soc.religion.christian
way,16,soc.religion.christian
life,15,soc.religion.christian
article,15,soc.religion.christian
law,12,soc.religion.christian
day,12,soc.religion.christian
question,11,soc.religion.christian
sin,11,soc.religion.christian
truth,11,soc.religion.christian
something,11,soc.religion.christian
christ,11,soc.religion.christian
apr,11,soc.religion.christian
paul,10,soc.religion.christian
fact,9,soc.religion.christian
person,9,soc.religion.christian
university,9,soc.religion.christian
gatech,9,soc.religion.christian
faith,9,soc.religion.christian
christianity,9,soc.religion.christian
rochester,9,soc.religion.christian
kind,8,soc.religion.christian
world,8,soc.religion.christian
homosexuality,8,soc.religion.christian
problem,8,soc.religion.christian
man,8,soc.religion.christian
book,8,soc.religion.christian
word,8,soc.religion.christian
lord,7,soc.religion.christian
think,7,soc.religion.christian
anything,7,soc.religion.christian
reason,7,soc.religion.christian
difference,7,soc.religion.christian
john,7,soc.religion.christian
course,7,soc.religion.christian
nothing,6,soc.religion.christian
state,6,soc.religion.christian
science,6,soc.religion.christian
death,6,soc.religion.christian
issue,6,soc.religion.christian
thing,6,soc.religion.christian
work,6,soc.religion.christian
language,6,soc.religion.christian
community,6,soc.religion.christian
group,5,soc.religion.christian
relationship,5,soc.religion.christian
experience,5,soc.religion.christian
easter,5,soc.religion.christian
discussion,5,soc.religion.christian
spirit,5,soc.religion.christian
look,5,soc.religion.christian
anyone,5,soc.religion.christian
scripture,5,soc.religion.christian
hudson,4,soc.religion.christian
sense,4,soc.religion.christian
idea,4,soc.religion.christian
society,4,soc.religion.christian
judgement,4,soc.religion.christian
statement,4,soc.religion.christian
help,4,soc.religion.christian
lot,4,soc.religion.christian
heart,4,soc.religion.christian
end,4,soc.religion.christian
revelation,4,soc.religion.christian
body,4,soc.religion.christian
case,4,soc.religion.christian
point,4,soc.religion.christian
place,4,soc.religion.christian
hate,4,soc.religion.christian
die,4,soc.religion.christian
translation,4,soc.religion.christian
order,4,soc.religion.christian
example,4,soc.religion.christian
family,4,soc.religion.christian
sex,3,soc.religion.christian
power,3,soc.religion.christian
rest,3,soc.religion.christian
nature,3,soc.religion.christian
mark,3,soc.religion.christian
name,3,soc.religion.christian
news,3,soc.religion.christian
prayer,3,soc.religion.christian
number,3,soc.religion.christian
position,3,soc.religion.christian
mind,3,soc.religion.christian
please,3,soc.religion.christian
peter,3,soc.religion.christian
