word,count,category
get,61,sci.space
gmt,47,sci.space
remember,22,sci.space
see,20,sci.space
take,20,sci.space
find,19,sci.space
give,15,sci.space
make,15,sci.space
try,13,sci.space
think,13,sci.space
keep,11,sci.space
like,10,sci.space
let,10,sci.space
work,8,sci.space
look,8,sci.space
prize,8,sci.space
want,8,sci.space
please,8,sci.space
know,8,sci.space
build,8,sci.space
put,7,sci.space
ask,7,sci.space
need,7,sci.space
develop,7,sci.space
send,7,sci.space
spend,7,sci.space
express,7,sci.space
help,6,sci.space
drink,6,sci.space
say,6,sci.space
buy,6,sci.space
expect,6,sci.space
require,6,sci.space
kill,5,sci.space
cost,5,sci.space
shuttle,5,sci.space
reduce,5,sci.space
reply,4,sci.space
cover,4,sci.space
wonderfull,4,sci.space
explain,4,sci.space
use,4,sci.space
cause,4,sci.space
tell,4,sci.space
call,4,sci.space
sell,4,sci.space
come,4,sci.space
happen,4,sci.space
appreciate,4,sci.space
leave,4,sci.space
provide,4,sci.space
boost,4,sci.space
read,4,sci.space
begin,4,sci.space
increase,4,sci.space
bear,4,sci.space
move,3,sci.space
crystal,3,sci.space
post,3,sci.space
wonder,3,sci.space
visible,3,sci.space
hold,3,sci.space
fait,3,sci.space
first,3,sci.space
land,3,sci.space
run,3,sci.space
result,3,sci.space
involve,3,sci.space
interest,3,sci.space
paris,3,sci.space
wrong,3,sci.space
become,3,sci.space
believe,3,sci.space
add,3,sci.space
clarify,3,sci.space
better,3,sci.space
change,3,sci.space
answer,2,sci.space
imagine,2,sci.space
identify,2,sci.space
rockwell,2,sci.space
hst,2,sci.space
bruce,2,sci.space
scan,2,sci.space
seem,2,sci.space
allow,2,sci.space
hear,2,sci.space
apply,2,sci.space
head,2,sci.space
access,2,sci.space
pay,2,sci.space
buffer,2,sci.space
justify,2,sci.space
guess,2,sci.space
gsfc,2,sci.space
set,2,sci.space
george,2,sci.space
slower,2,sci.space
form,2,sci.space
follow,2,sci.space
carry,2,sci.space
feel,2,sci.space
start,2,sci.space
experience,2,sci.space
apr,2,sci.space
remote,2,sci.space
replace,2,sci.space
keesler,2,sci.space
open,2,sci.space
offer,2,sci.space
point,2,sci.space
best,2,sci.space
moonbase,2,sci.space
pool,2,sci.space
prove,2,sci.space
meet,2,sci.space
mean,2,sci.space
mallove,2,sci.space
bet,2,sci.space
magellan,2,sci.space
love,2,sci.space
lose,2,sci.space
raise,2,sci.space
realize,2,sci.space
reasonable,2,sci.space
recall,2,sci.space
recommend,2,sci.space
reference,2,sci.space
kourou,2,sci.space
bolt,2,sci.space
klaes,2,sci.space
key,2,sci.space
establish,2,sci.space
evolve,2,sci.space
handle,2,sci.space
pat,2,sci.space
umm,2,sci.space
divide,2,sci.space
talk,2,sci.space
contact,2,sci.space
support,2,sci.space
consider,2,sci.space
supply,2,sci.space
earth,2,sci.space
agree,2,sci.space
thank,2,sci.space
determine,2,sci.space
vandalize,2,sci.space
succeed,2,sci.space
cut,2,sci.space
upset,2,sci.space
afford,2,sci.space
demonstrate,2,sci.space
emory,2,sci.space
deal,2,sci.space
enlighten,2,sci.space
ensure,2,sci.space
worth,2,sci.space
cook,2,sci.space
agate,2,sci.space
regain,1,sci.space
twelve,1,sci.space
turn,1,sci.space
reckon,1,sci.space
quick,1,sci.space
wake,1,sci.space
visit,1,sci.space
refurbish,1,sci.space
regulate,1,sci.space
reggae,1,sci.space
advance,1,sci.space
vent,1,sci.space
reformat,1,sci.space
ralph,1,sci.space
rcirc,1,sci.space
avoid,1,sci.space
assume,1,sci.space
assist,1,sci.space
purchase,1,sci.space
warn,1,sci.space
accomplish,1,sci.space
perform,1,sci.space
phone,1,sci.space
pick,1,sci.space
pilot,1,sci.space
pioneer,1,sci.space
planet,1,sci.space
planeten,1,sci.space
worse,1,sci.space
plato,1,sci.space
bell,1,sci.space
pluto,1,sci.space
worry,1,sci.space
poison,1,sci.space
account,1,sci.space
washington,1,sci.space
achieve,1,sci.space
win,1,sci.space
prb,1,sci.space
precise,1,sci.space
premature,1,sci.space
preston,1,sci.space
presume,1,sci.space
wierd,1,sci.space
waste,1,sci.space
beat,1,sci.space
pub,1,sci.space
afterwards,1,sci.space
push,1,sci.space
remain,1,sci.space
step,1,sci.space
rember,1,sci.space
spacecause,1,sci.space
seperate,1,sci.space
short,1,sci.space
shutdown,1,sci.space
alert,1,sci.space
sink,1,sci.space
suffer,1,sci.space
sky,1,sci.space
slow,1,sci.space
